CustomerID,Age,Gender,Income,Location,MaritalStatus,PolicyID,PolicyType,Premium,CoverageDetails,IssuanceDate,ExpiryDate,ClaimAmount,ClaimType,ClaimDate,InteractionType,InteractionDate,ResponseTime,RenewalStatus,RenewalDate,RenewalPremium
1,34,Male,56462.5,Port Krista,Divorced,1,Health,561.731,Measure yard thought room start himself. Why trial in. Pm economic community herself pass road scene stage.,2023-12-05,2021-04-25,1048.77,Health,2025-05-23,Website,2025-01-05,,Not Renewed,2025-03-11,738.443
1,34,Male,56462.5,Port Krista,Divorced,1,Health,561.731,Measure yard thought room start himself. Why trial in. Pm economic community herself pass road scene stage.,2023-12-05,2021-04-25,1048.77,Health,2025-05-23,Call Center,2025-07-10,,Not Renewed,2025-03-11,738.443
1,34,Male,56462.5,Port Krista,Divorced,1,Health,561.731,Measure yard thought room start himself. Why trial in. Pm economic community herself pass road scene stage.,2023-12-05,2021-04-25,539.576,Health,2025-02-07,Website,2025-01-05,,Not Renewed,2025-03-11,738.443
1,34,Male,56462.5,Port Krista,Divorced,1,Health,561.731,Measure yard thought room start himself. Why trial in. Pm economic community herself pass road scene stage.,2023-12-05,2021-04-25,539.576,Health,2025-02-07,Call Center,2025-07-10,,Not Renewed,2025-03-11,738.443
2,31,,32839.4,South Lisaton,,2,Health,148.739,"Maintain certain management tonight. Tonight note listen agreement behavior. Front both involve certainly return.
Company pay hit difficult edge reflect hotel. Wait chair meet year culture keep grow.",2021-08-21,2020-01-12,965.311,Accident,2025-05-13,,2025-07-07,,Renewed,2025-01-24,794.892
2,31,,32839.4,South Lisaton,,2,Health,148.739,"Maintain certain management tonight. Tonight note listen agreement behavior. Front both involve certainly return.
Company pay hit difficult edge reflect hotel. Wait chair meet year culture keep grow.",2021-08-21,2020-01-12,1465.11,Health,2025-06-11,,2025-07-07,,Renewed,2025-01-24,794.892
2,31,,32839.4,South Lisaton,,2,Health,148.739,"Maintain certain management tonight. Tonight note listen agreement behavior. Front both involve certainly return.
Company pay hit difficult edge reflect hotel. Wait chair meet year culture keep grow.",2021-08-21,2020-01-12,752.462,Health,2025-04-08,,2025-07-07,,Renewed,2025-01-24,794.892
3,28,,,Millsfort,Married,3,Business,210.006,Administration listen not show by. Amount the while common really Mr. Home establish cultural speak first color around. Exist control your play drug talk appear.,2020-08-21,2025-06-30,507.44,Health,2025-04-04,Call Center,2025-03-12,26,Not Renewed,2025-07-20,669.886
3,28,,,Millsfort,Married,3,Business,210.006,Administration listen not show by. Amount the while common really Mr. Home establish cultural speak first color around. Exist control your play drug talk appear.,2020-08-21,2025-06-30,825.878,Health,2025-01-18,Call Center,2025-03-12,26,Not Renewed,2025-07-20,669.886
4,,Male,,Clarkland,Single,4,Home,114.231,"Through area outside well price represent. Somebody will campaign community until.
Major million effort outside front. Activity use quality.",2022-07-31,2024-06-16,1199.71,Fire,2025-01-10,,2025-07-11,16,Pending,2025-02-22,810.775
4,,Male,,Clarkland,Single,4,Home,114.231,"Through area outside well price represent. Somebody will campaign community until.
Major million effort outside front. Activity use quality.",2022-07-31,2024-06-16,1199.71,Fire,2025-01-10,Website,2025-05-16,37,Pending,2025-02-22,810.775
4,,Male,,Clarkland,Single,4,Home,114.231,"Through area outside well price represent. Somebody will campaign community until.
Major million effort outside front. Activity use quality.",2022-07-31,2024-06-16,1199.71,Fire,2025-01-10,Mobile App,2025-07-12,46,Pending,2025-02-22,810.775
4,,Male,,Clarkland,Single,4,Home,114.231,"Through area outside well price represent. Somebody will campaign community until.
Major million effort outside front. Activity use quality.",2022-07-31,2024-06-16,1199.71,Fire,2025-01-10,Website,2025-02-01,49,Pending,2025-02-22,810.775
4,,Male,,Clarkland,Single,4,Home,114.231,"Through area outside well price represent. Somebody will campaign community until.
Major million effort outside front. Activity use quality.",2022-07-31,2024-06-16,1199.71,Fire,2025-01-10,Mobile App,2025-07-19,33,Pending,2025-02-22,810.775
4,,Male,,Clarkland,Single,4,Home,114.231,"Through area outside well price represent. Somebody will campaign community until.
Major million effort outside front. Activity use quality.",2022-07-31,2024-06-16,597.297,Fire,2025-03-09,,2025-07-11,16,Pending,2025-02-22,810.775
4,,Male,,Clarkland,Single,4,Home,114.231,"Through area outside well price represent. Somebody will campaign community until.
Major million effort outside front. Activity use quality.",2022-07-31,2024-06-16,597.297,Fire,2025-03-09,Website,2025-05-16,37,Pending,2025-02-22,810.775
4,,Male,,Clarkland,Single,4,Home,114.231,"Through area outside well price represent. Somebody will campaign community until.
Major million effort outside front. Activity use quality.",2022-07-31,2024-06-16,597.297,Fire,2025-03-09,Mobile App,2025-07-12,46,Pending,2025-02-22,810.775
4,,Male,,Clarkland,Single,4,Home,114.231,"Through area outside well price represent. Somebody will campaign community until.
Major million effort outside front. Activity use quality.",2022-07-31,2024-06-16,597.297,Fire,2025-03-09,Website,2025-02-01,49,Pending,2025-02-22,810.775
4,,Male,,Clarkland,Single,4,Home,114.231,"Through area outside well price represent. Somebody will campaign community until.
Major million effort outside front. Activity use quality.",2022-07-31,2024-06-16,597.297,Fire,2025-03-09,Mobile App,2025-07-19,33,Pending,2025-02-22,810.775
5,,Male,62688.7,North Cameronchester,Married,5,Auto,524.168,"Act choice its fight occur each kind. Source yet none body without option interesting.
Act for chair investment put.",2022-05-01,2023-02-07,1227.1,Accident,2025-06-13,Call Center,2025-01-17,8,Pending,2025-07-08,479.77
5,,Male,62688.7,North Cameronchester,Married,5,Auto,524.168,"Act choice its fight occur each kind. Source yet none body without option interesting.
Act for chair investment put.",2022-05-01,2023-02-07,1227.1,Accident,2025-06-13,Website,2025-05-17,27,Pending,2025-07-08,479.77
5,,Male,62688.7,North Cameronchester,Married,5,Auto,524.168,"Act choice its fight occur each kind. Source yet none body without option interesting.
Act for chair investment put.",2022-05-01,2023-02-07,1227.1,Accident,2025-06-13,Call Center,2025-06-24,,Pending,2025-07-08,479.77
6,,Female,,Lake Heidi,,6,Auto,123.894,"Bar exactly side just early. Within add perform generation education forward mean. Television real born choice.
Him exactly explain material when analysis.",2023-04-07,2025-01-28,516.961,Health,2025-05-22,Mobile App,2025-02-19,39,Pending,2025-03-18,866.643
7,35,,,Laurabury,Single,7,Life,322.633,"As stand or star. Ever tell worker method.
As set change. Rule firm year hair. Himself situation town own someone each. People article enter kitchen cold them.",2023-12-28,2023-09-21,1191.7,Health,2025-02-10,Call Center,2025-07-04,51,Renewed,2025-06-25,375.093
7,35,,,Laurabury,Single,7,Life,322.633,"As stand or star. Ever tell worker method.
As set change. Rule firm year hair. Himself situation town own someone each. People article enter kitchen cold them.",2023-12-28,2023-09-21,1191.7,Health,2025-02-10,Website,2025-04-12,20,Renewed,2025-06-25,375.093
7,35,,,Laurabury,Single,7,Life,322.633,"As stand or star. Ever tell worker method.
As set change. Rule firm year hair. Himself situation town own someone each. People article enter kitchen cold them.",2023-12-28,2023-09-21,719.897,Theft,2025-04-20,Call Center,2025-07-04,51,Renewed,2025-06-25,375.093
7,35,,,Laurabury,Single,7,Life,322.633,"As stand or star. Ever tell worker method.
As set change. Rule firm year hair. Himself situation town own someone each. People article enter kitchen cold them.",2023-12-28,2023-09-21,719.897,Theft,2025-04-20,Website,2025-04-12,20,Renewed,2025-06-25,375.093
8,,Female,133232.0,Lake Dylanchester,,8,Life,232.603,"Step indicate concern another source mouth purpose federal. For event course culture interview show. Explain take task add ability.
Start anyone high matter return leg statement.",2023-08-01,2021-03-10,951.968,Accident,2025-06-15,Website,2025-03-17,21,,2025-07-12,456.938
8,,Female,133232.0,Lake Dylanchester,,8,Life,232.603,"Step indicate concern another source mouth purpose federal. For event course culture interview show. Explain take task add ability.
Start anyone high matter return leg statement.",2023-08-01,2021-03-10,951.968,Accident,2025-06-15,,2025-05-18,47,,2025-07-12,456.938
